agendor_id,titulo,clickup_id,produto_agendor,fabricante_agendor,distribuidor_esperado,produto_supabase,fabricante_supabase,distribuidor_supabase,valor_agendor,valor_supabase,servico_prioridade,tipo_divergencia
41026334,SUPRIMATICA SERVIÇOS UNIFICADOS - MAR,86ajxx43t,SSU CONTRATOS,SUPRIMÁTICA SERVIÇOS,Suprimatica,SSU CONTRATOS,SUPRIMATICA,Suprimatica,184107.0,184107.0,True,FABRICANTE
41026136,SUPRIMATICA SERVIÇOS UNIFICADOS - FEV,86ajxx44c,SSU CONTRATOS,SUPRIMÁTICA SERVIÇOS,Suprimatica,SSU CONTRATOS,SUPRIMATICA,Suprimatica,181999.46,181999.46,True,FABRICANTE
32877942,FRIGOL - PARK PLACE (HPE),86ajxx45p,PARK PLACE - GARANTIA,PARK PLACE,Park Place,(AUSENTE),,,15000.0,,False,PRODUTO_AUSENTE_NO_SUPABASE
32877942,FRIGOL - PARK PLACE (HPE),86ajxx45p,(NÃO EXISTE NO AGENDOR),,,SUPORTE POS  GARANTIA,PARK PLACE ,Ingram Micro,,15000.0,,PRODUTO_EXTRA_NO_SUPABASE
38450245,TMG | PROPOSTA PARA IMPLEMENTAÇÃO DE UM NOVO FIREWALL,86ajxx46z,SUPRIMATICA SERVIÇOS,SUPRIMÁTICA SERVIÇOS,Suprimatica,SUPRIMATICA SERVIÇOS,SUPRIMATICA,Suprimatica,28000.0,28000.0,True,FABRICANTE
37337425,QUINELATO | SW FORTINET E GBIC DELL | ESTOQUE,86ajxx47j,NETWORKING DELL EMC,DELL EMC,Ingram Micro,NETWORKING DELL EMC,DELL,Ingram Micro,5221.74,5221.74,False,FABRICANTE
39381240,SUPRIMATICA SSU - JAN,86ajxx49r,(NÃO EXISTE NO AGENDOR),,,SSU CONTRATOS,SUPRIMATICA,Suprimatica,,166303.91,,PRODUTO_EXTRA_NO_SUPABASE
34880450,QUATA- BIORIGEN (GARANTIAS),86ajxx4ag,POS GARANTIA DELL EMC,DELL EMC,Ingram Micro,POS GARANTIA DELL EMC,DELL,Ingram Micro,101528.13,101528.13,False,FABRICANTE
38780352,UFECEP - FORTINET,86ajxx4b8,SUPRIMATICA SERVIÇOS,SUPRIMÁTICA SERVIÇOS,Suprimatica,SUPRIMATICA SERVIÇOS,SUPRIMATICA,Suprimatica,26000.0,26000.0,True,FABRICANTE
25762632,UNIMED CAMPO MOURAO | FW E SERVIÇO DE IMPLEMENTAÇÃO DE REDE | FORTINET,86ajxx4bw,SUPRIMATICA SERVIÇOS,SUPRIMÁTICA SERVIÇOS,Suprimatica,SUPRIMATICA SERVIÇOS,SUPRIMATICA,Suprimatica,60000.0,60000.0,True,FABRICANTE
39216466,UNIMED REG CAMPO MOURAO,86ajxx4ce,POS GARANTIA DELL EMC,DELL EMC,Ingram Micro,POS GARANTIA DELL EMC,DELL,Ingram Micro,5180.0,5180.0,False,FABRICANTE
39115496,SUPRIMATICA SERVIÇOS UNIFICADOS (SSU)_DEZ,86ajxx4ct,(NÃO EXISTE NO AGENDOR),,,SSU CONTRATOS,SUPRIMATICA,Suprimatica,,166186.99,,PRODUTO_EXTRA_NO_SUPABASE
36476605,UNAERP - VEEAM,86ajxx4e3,SUPRIMATICA SERVIÇOS,SUPRIMÁTICA SERVIÇOS,Suprimatica,SUPRIMATICA SERVIÇOS,SUPRIMATICA,Suprimatica,13000.0,13000.0,True,FABRICANTE
36738541,TRIMESTRAL - SUPRIMATICA CLOUD - OUT/NOV/DEZ,86ajxx4ek,CLOUD AZURE,MICROSOFT,Ingram Micro,CLOUD AZURE,AZURE,Ingram Micro,6932.51,6932.51,False,FABRICANTE
38033318,PRIMA FOODS | PROPOSTA PARA ANALISE DO AMBIENTE,86ajxx4gd,SUPRIMATICA SERVIÇOS,SUPRIMÁTICA SERVIÇOS,Suprimatica,SUPRIMATICA SERVIÇOS,SUPRIMATICA,Suprimatica,22800.0,22800.0,True,FABRICANTE
35921329,OJI PAPÉIS | UPGRADE DE MEMORIAS | DELL,86ajxx4h2,UPGRADE SERVIDOR,4SERVERS,4Server,UPGRADE SERVIDOR,BROKER,4Server,85000.0,85000.0,False,FABRICANTE
18865711,ICASA | TECH REFRESH DC | DELL,86ajxx4hd,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL ,Ingram Micro,478337.94,478337.94,False,FABRICANTE
18865711,ICASA | TECH REFRESH DC | DELL,86ajxx4hd,SUPRIMATICA SERVIÇOS,SUPRIMÁTICA SERVIÇOS,Suprimatica,SUPRIMATICA SERVIÇOS,SUPRIMATICA,Suprimatica,65000.0,65000.0,True,FABRICANTE
18865711,ICASA | TECH REFRESH DC | DELL,86ajxx4hd,NETWORKING DELL EMC,DELL EMC,Ingram Micro,NETWORKING DELL EMC,DELL,Ingram Micro,270386.57,270386.57,False,FABRICANTE
18865711,ICASA | TECH REFRESH DC | DELL,86ajxx4hd,LEGACY TI,LEGACY TI,4Server,LEGACY TI,86agg6j56,4Server,13304.0,13304.0,False,FABRICANTE
37889431,ICASA - DELL (Cabos),86ajxx4j1,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL ,Ingram Micro,424.12,424.12,False,FABRICANTE
37892621,Contratos_ SSU_NOV,86ajxx4ja,(NÃO EXISTE NO AGENDOR),,,SSU CONTRATOS,SUPRIMATICA,Suprimatica,,170363.98,,PRODUTO_EXTRA_NO_SUPABASE
37892237,CONTRATOS_SSU_OUT,86ajxx4jn,(NÃO EXISTE NO AGENDOR),,,SSU CONTRATOS,SUPRIMATICA,Suprimatica,,174950.85,,PRODUTO_EXTRA_NO_SUPABASE
36506280,LWART - PARK PLACE,86ajxx4k3,PARK PLACE - GARANTIA,PARK PLACE,Park Place,(AUSENTE),,,5519.1,,False,PRODUTO_AUSENTE_NO_SUPABASE
36506280,LWART - PARK PLACE,86ajxx4k3,(NÃO EXISTE NO AGENDOR),,,SUPORTE POS  GARANTIA,PARK PLACE ,Ingram Micro,,5519.1,,PRODUTO_EXTRA_NO_SUPABASE
32630391,UNAERP | ATUALIZAÇÃO REDE LAN CORE DA UNIDADE DO GUARUJA | DELL,86ajxx4kf,NETWORKING DELL EMC,DELL EMC,Ingram Micro,NETWORKING DELL EMC,DELL,Ingram Micro,222873.68,222873.68,False,FABRICANTE
32630391,UNAERP | ATUALIZAÇÃO REDE LAN CORE DA UNIDADE DO GUARUJA | DELL,86ajxx4kf,SUPRIMATICA SERVIÇOS,SUPRIMÁTICA SERVIÇOS,Suprimatica,SUPRIMATICA SERVIÇOS,SUPRIMATICA,Suprimatica,65500.0,65500.0,True,FABRICANTE
32630391,UNAERP | ATUALIZAÇÃO REDE LAN CORE DA UNIDADE DO GUARUJA | DELL,86ajxx4kf,LEGACY TI,LEGACY TI,4Server,LEGACY TI,86agg6j56,4Server,6585.11,6585.11,False,FABRICANTE
29146102,ZILOR - UNIDADE DE QUATA - DELL,86ajxx4m8,POS GARANTIA DELL EMC,DELL EMC,Ingram Micro,POS GARANTIA DELL EMC,DELL,Ingram Micro,5300.0,5300.0,False,FABRICANTE
