agendor_id,titulo,clickup_id,produto_agendor,fabricante_agendor,distribuidor_esperado,produto_supabase,fabricante_supabase,distribuidor_supabase,valor_agendor,valor_supabase,servico_prioridade,tipo_divergencia
21051582,UNIMED LONDRINA - ARUBA LAN E WLAN,86ajxx6wy,NETWORKING ARUBA,ARUBA,Ingram Micro,NETWORKING ARUBA,ARUBA,Ingram Micro,988962.5,768211.74,False,VALOR
21051582,UNIMED LONDRINA - ARUBA LAN E WLAN,86ajxx6wy,NETWORKING ARUBA,ARUBA,Ingram Micro,NETWORKING ARUBA,ARUBA,Ingram Micro,988962.5,573302.34,False,VALOR
21051582,UNIMED LONDRINA - ARUBA LAN E WLAN,86ajxx6wy,NETWORKING ARUBA,ARUBA,Ingram Micro,NETWORKING ARUBA,ARUBA,Ingram Micro,988962.5,19192.8,False,VALOR
21051582,UNIMED LONDRINA - ARUBA LAN E WLAN,86ajxx6wy,NETWORKING ARUBA,ARUBA,Ingram Micro,NETWORKING ARUBA,ARUBA,Ingram Micro,988962.5,87376.4,False,VALOR
21051582,UNIMED LONDRINA - ARUBA LAN E WLAN,86ajxx6wy,NETWORKING ARUBA,ARUBA,Ingram Micro,NETWORKING ARUBA,ARUBA,Ingram Micro,87376.4,500167.93,False,VALOR
21051582,UNIMED LONDRINA - ARUBA LAN E WLAN,86ajxx6wy,NETWORKING ARUBA,ARUBA,Ingram Micro,NETWORKING ARUBA,ARUBA,Ingram Micro,87376.4,768211.74,False,VALOR
21051582,UNIMED LONDRINA - ARUBA LAN E WLAN,86ajxx6wy,NETWORKING ARUBA,ARUBA,Ingram Micro,NETWORKING ARUBA,ARUBA,Ingram Micro,87376.4,573302.34,False,VALOR
21051582,UNIMED LONDRINA - ARUBA LAN E WLAN,86ajxx6wy,NETWORKING ARUBA,ARUBA,Ingram Micro,NETWORKING ARUBA,ARUBA,Ingram Micro,87376.4,19192.8,False,VALOR
21051582,UNIMED LONDRINA - ARUBA LAN E WLAN,86ajxx6wy,NETWORKING ARUBA,ARUBA,Ingram Micro,NETWORKING ARUBA,ARUBA,Ingram Micro,87376.4,988962.5,False,VALOR
24448878,UNIMED ANHANGUERA - MICROSOFT - 2024,86ajxx737,MICROSOFT,MICROSOFT,Ingram Micro,LICENCIAMENTO MICROSOFT,MICROSOFT,Ingram Micro,25876.8,25876.8,False,NOME_PRODUTO
18815634,UNIMED BAIXA MOGIANA - DELL-MICROSOFT- PROJETO TECH REFRESH E DR,86ajxx90j,MICROSOFT,MICROSOFT,Ingram Micro,LICENCIAMENTO MICROSOFT,MICROSOFT,Ingram Micro,122159.91,122159.91,False,NOME_PRODUTO
21179362,UNIMED ANHANGUERA - MICROSOFT,86ajxx8e7,MICROSOFT,MICROSOFT,Ingram Micro,LICENCIAMENTO MICROSOFT,MICROSOFT,Ingram Micro,25413.6,25413.6,False,NOME_PRODUTO
21001773,Unimed COP - MICROSOFT - LICENCIMENTO,86ajxx8qu,MICROSOFT,MICROSOFT,Ingram Micro,LICENCIAMENTO MICROSOFT,MICROSOFT,Ingram Micro,103119.24,103119.24,False,NOME_PRODUTO
